39209,6,Sager's Lake Outlet,3556,base,3.455,97.8347,12.93,8.07,78.5,7.8,868,0.06,,0.007,0.023,0.209090909,0.11,6.8,60,,,0.507175085,,1.76742833,0.929820989,57.4798429,,
39209,7,Beauty Creek,2092,base,2.003,56.7186,14.86,8.65,87.8,7.57,918,0.06,,0.21,0.023,0.23,0.1,1.6,40,,,0.294029222,1.02910228,1.12711202,0.490048704,7.84077926,,
39209,8,Pepper Creek,1937,base,2.582,73.1141,15.4,8.3,85.2,7.82,824,0.083,,0.15,0.027,0.149171271,0.181,13,90,,,0.524315834,0.947558736,0.942323605,1.14338754,82.1217571,,
39209,9,Unnamed Tributary (Mallards Landing),1899,base,0.979,27.7222,16.79,9.23,97.6,8.03,734,0.089,,0.076,0.033,0.284482759,0.116,4.6,50,,,0.213172629,0.182035054,0.681392557,0.277842977,11.0179112,,
39209,10,Butternut Springs Outlet,1176,base,1.431,40.5214,16.28,8.86,92.5,8.18,629,0.042,,0.013,0.023,0.203539823,0.113,7.2,150,,,,0.045513637,0.712602886,0.395618532,25.2075525,,
39209,11,Squirrel Creek,1576,base,0.573,16.2256,18.84,11.91,131.3,8.33,813,0.042,,0.74,0.023,0.182539683,0.126,8.4,10,,,,1.03739996,0.255900891,0.176638372,11.7758915,,
39209,12,Robbin's Ditch,1403,base,0.701,19.8501,15.31,8.4,86.3,7.73,1433,0.36,,1.7,0.044,0.309859155,0.142,3.6,890,,,0.61741751,2.91558269,0.531423522,0.243536907,6.1741751,,
39209,13,Damon Run,7014,base,8.411,238.173,17.08,11.15,118.5,7.96,714,0.072,,0.25,0.032,0.226950355,0.141,4,90,,,1.4816266,5.1445368,4.6702178,2.90151876,82.3125888,,
39209,13,Damon Run (dup),7014,base,,,,,,,,0.071,,0.25,0.033,0.217105263,0.152,4.6,110,,,0,0,0,0,0,,
39209,14,Salt Creek (Lenburg),44335,base,,,16.54,8.56,90,7.94,851,0.069,,1.8,0.048,0.244897959,0.196,14,100,,,0,0,0,0,0,,
39209,15,Salt Creek (ST 130) Fixed Station (Field data from 5/23),,base,28.157,797.3174,19.2,8.4,,8,992,0.1,,4,,,0.18,14,,,,,275.552893,0,12.3998802,964.435127,,
39209,16,Salt Creek (US 20) Fixed Station (Field data from 5/23),,base,,,21.8,7.9,,8,930,0.1,,2.8,,,0.14,20,,,,,0,0,0,0,,
39218,1,Lake Louise Outlet,1828,storm,1.842,52.1596,13.3,6.42,61.5,7.42,812,3,,2.6,0.041,0.157692308,0.26,7.6,19000,,,13.5197683,11.7171325,0.710654489,1.17171325,34.2500797,,
39218,2,Clark Ditch,2716,storm,2.969,84.0727,14.4,8.78,85.9,7.82,623,0.12,,0.14,0.056,0.293193717,0.191,12,810,,,0.871665754,1.01694338,2.12972435,1.38740132,87.1665754,,
39218,3,Unnamed Tributary (Weblos),980,storm,0.912,25.8249,13.7,6.52,62.8,7.44,789,0.067,,0.007,0.055,0.300546448,0.183,10,460,,,0.149495181,,0.670600682,0.408322659,22.3127136,,
39218,4,Block Ditch,469,storm,0.595,16.8485,11.3,7.06,64.4,7.41,869,0.41,,0.057,0.035,0.047297297,0.74,120,220,,,0.596841264,0.082975493,0.068851168,1.0772257,174.685248,,
39218,5,Salt Creek Headwaters,4916,storm,8.518,241.2029,13,7.11,68,7.58,634,0.15,,0.26,0.035,0.166666667,0.21,53,690,,,3.12598958,5.41838195,3.47332176,4.37638542,1104.51632,,
39218,6,Sager's Lake Outlet,3556,storm,4.452,126.0666,15.6,8.72,87.7,7.9,266,0.11,,0.043,0.035,0.255474453,0.137,11,500,,,1.19813697,0.468362632,2.78266714,1.49222513,119.813697,,
39218,7,Beauty Creek,2092,storm,1.338,37.8879,15.9,8.82,85.3,7.66,801,0.052,,0.19,0.035,0.307017544,0.114,1,100,,,0.170222757,0.621967766,1.0050264,0.37318066,,,
39218,8,Pepper Creek,1937,storm,3.621,102.5353,14.8,8.98,88.6,7.99,728,0.052,,0.26,0.035,0.25,0.14,3,660,,,0.460670596,2.30335298,2.21476248,1.24026699,26.5771498,,
39218,9,Unnamed Tributary (Mallards Landing),1899,storm,0.585,16.5653,15.2,9.15,91,8.1,664,0.094,,0.14,0.062,0.342541436,0.181,59,780,,,0.13453674,0.200373869,0.490259663,0.259054788,84.4432733,,
39218,10,Butternut Springs Outlet,1176,storm,2.057,58.2477,15.6,9.06,91.1,8.11,528,0.052,,0.095,0.035,0.296610169,0.118,6,1600,,,0.261695267,0.478097122,1.49272072,0.593846951,30.1956077,,
39218,11,Squirrel Creek,1576,storm,2.058,58.276,20,9.82,108.1,8.13,819,0.052,,0.41,0.035,0.145833333,0.24,13,3100,,,0.261822413,2.06436902,0.7342776,1.20841114,65.4556032,,
39218,11,Squirrel Creek (Duplicate),1576,storm,,,,,,,,0.14,,0.42,0.038,0.158333333,0.24,10,4400,,,0,0,0,0,0,,
39218,12,Robbin's Ditch,1403,storm,1.327,37.5764,16.5,7.6,77.9,7.72,1112,0.11,,1.8,0.061,0.358823529,0.17,1,1300,,,0.357126106,5.84388173,1.16495682,0.551922163,,,
39218,13,Damon Run,7014,storm,12.523,354.6118,16.4,9.89,101.2,7.86,704,0.085,,0.66,0.05,0.238095238,0.21,8,590,,,2.60426906,20.2213833,7.29487131,6.4340765,245.107676,,
39218,14,Salt Creek (Lenburg),44335,storm,,,16.8,7.37,76.1,7.91,758,0.084,,2.8,0.069,0.265384615,0.26,32,1500,,,0,0,0,0,0,,
39218,15,Salt Creek (ST 130) Fixed Station,,storm,42.057,1190.9216,,,,,,,,,,,,,,,,0,0,0,0,0,,
39218,16,Salt Creek (US 20) Fixed Station,,storm,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
39224,1,Lake Louise Outlet,1828,base,1.732,49.0447,12.91,7.76,74.6,7.69,846,0.2,,1.2,0.027,0.225,0.12,5.2,40,,,0.847492416,5.0849545,0.953428968,0.50849545,22.0348028,,
39224,2,Clark Ditch,2716,base,1.883,53.3206,15.81,7.93,81.5,8,724,0.12,,0.18,0.034,0.217948718,0.156,26,350,,,0.552827981,0.829241971,1.00406791,0.718676375,119.779396,,
39224,3,Unnamed Tributary (Weblos),980,base,0.397,11.2417,13.91,6.5,64.1,7.61,929,0.16,,0,0.03,0.229007634,0.131,13,760,,,0.155405261,0,0.222431194,0.127238057,12.6266774,,
39224,4,Block Ditch,469,base,0.693,19.6235,12.58,4.38,42.1,7.47,931,0.3,,0.11,0.0175,0.227272727,0.077,6,20,,,0.50864112,0.186501744,0.385334182,0.130551221,10.1728224,,
39224,5,Salt Creek Headwaters,4916,base,4.661,131.9848,14.11,6.86,67.7,7.79,699,0.12,,0.32,0.023,0.178294574,0.129,32,260,,,1.36841841,3.64911575,2.0331798,1.47104979,364.911575,,
39224,6,Sager's Lake Outlet,3556,base,2.885,81.6941,15.91,8.98,89.9,7.9,913,0.098,,0.046,0.0186,0.191752577,0.097,11,100,,,0.691720284,0.324685031,1.35346069,0.684661913,77.6420726,,
39224,7,Beauty Creek,2092,base,1.07,30.299,12.53,9.09,86.9,7.81,913,0.079,,0.15,0.0175,0.25,0.07,3.2,20,,,0.206808854,0.39267504,0.6544584,0.183248352,8.37706752,,
39224,7,Beauty Creek (Duplicate),2092,base,1.07,30.299,12.53,9.09,86.9,7.81,913,0.079,,0.14,0.0243,0.362686567,0.067,3.6,10,,,0.206808854,0.366496704,0.949453082,0.175394851,9.42420096,,
39224,8,Pepper Creek,1937,base,2.192,62.0705,14.11,8.95,89.2,8.1,823,0.14,,0.081,0.0175,0.210843373,0.083,11,80,,,0.750804768,0.434394187,1.13073007,0.44511997,58.9918032,,
39224,9,Unnamed Tributary (Mallards Landing),1899,base,0.842,23.8427,18.09,8.67,93.7,8.17,788,0.19,,0.2,0.0487,0.405833333,0.12,7.2,260,,,0.391401763,0.412001856,0.836020433,0.247201114,14.8320668,,
39224,10,Butternut Springs Outlet,1176,base,0.907,25.6833,16.37,8.73,91.2,8.27,651,0.081,,0.049,0.022,0.328358209,0.067,8,120,,,0.179742007,0.108732819,0.728639054,0.148675487,17.752297,,
