38,Salt Creek (US 20) Fixed Station (Field data from 5/23),base,39209,16,2233.8,2.2232,62.95401999999999,21.8,7.9,85.72,8.0,930.0,2.8,228.0,0.0
39,Lake Louise Outlet,storm,39218,1,1828.0,1.8419999999999999,52.1596,13.3,6.42,61.5,7.42,812.0,2.6,19000.0,11.7171325
40,Clark Ditch,storm,39218,2,2716.0,2.969,84.0727,14.4,8.78,85.9,7.82,623.0,0.14,810.0,1.01694338
41,Unnamed Tributary (Weblos),storm,39218,3,980.0,0.912,25.8249,13.7,6.52,62.8,7.44,789.0,0.006999999999999999,460.0,3.6470866645999998
42,Block Ditch,storm,39218,4,469.0,0.595,16.8485,11.3,7.06,64.4,7.41,869.0,0.057,220.0,0.082975493
43,Salt Creek Headwaters,storm,39218,5,4916.0,8.517999999999999,241.2029,13.0,7.11,68.0,7.58,634.0,0.26,690.0,5.41838195
44,Sager's Lake Outlet,storm,39218,6,3556.0,4.452,126.0666,15.6,8.72,87.7,7.9,266.0,0.043,500.0,0.46836263200000006
45,Beauty Creek,storm,39218,7,2092.0,1.338,37.8879,15.9,8.82,85.3,7.66,801.0,0.19,100.0,0.621967766
46,Pepper Creek,storm,39218,8,1937.0,3.6210000000000004,102.5353,14.8,8.98,88.6,7.99,728.0,0.26,660.0,2.30335298
47,Unnamed Tributary (Mallards Landing),storm,39218,9,1899.0,0.585,16.5653,15.2,9.15,91.0,8.1,664.0,0.14,780.0,0.20037386899999998
48,Butternut Springs Outlet,storm,39218,10,1176.0,2.057,58.2477,15.6,9.06,91.1,8.11,528.0,0.095,1600.0,0.47809712200000004
49,Squirrel Creek,storm,39218,11,1576.0,2.0580000000000003,58.276,20.0,9.82,108.1,8.13,819.0,0.41,3100.0,2.06436902
50,Squirrel Creek (Duplicate),storm,39218,11,1576.0,1.2054,34.13308,13.459999999999999,7.126,73.62,6.412000000000001,624.6,0.42,4400.0,0.0
51,Robbin's Ditch,storm,39218,12,1403.0,1.327,37.5764,16.5,7.6,77.9,7.72,1112.0,1.8,1300.0,5.84388173
52,Damon Run,storm,39218,13,7014.0,12.523,354.6118,16.4,9.89,101.2,7.86,704.0,0.66,590.0,20.221383300000003
